txn_id,is_ring_gt,ring_id_gt
txn_87a636bae8,False,
txn_ce10e54585,False,
txn_3a4be816e1,False,
txn_189355853a,False,
txn_f3986f64b2,False,
txn_b066cd9680,False,
txn_caa11f340a,False,
txn_be31133f76,False,
txn_940bd08da8,False,
txn_e6ea6c0550,False,
txn_aa09522dc0,False,
txn_690a926b72,False,
txn_9be4ddc8ef,False,
txn_d8faa493dc,False,
txn_0eb3aab529,False,
txn_c004bb29af,False,
txn_8e032b2e25,False,
txn_ed68676c1e,False,
txn_f7ef9a621f,False,
txn_a3aceb34b1,False,
txn_44e4d90522,False,
txn_581ce6be69,False,
txn_e519d8fedf,False,
txn_8e45873411,False,
txn_0a16bb8313,False,
txn_beca40fec0,False,
txn_b5883b4e61,False,
txn_5a256caee9,False,
txn_ad6b071925,False,
txn_696346ad7e,False,
txn_99f2c1a92c,False,
txn_241dadc766,False,
txn_09fd01b0b0,False,
txn_a74bce9aca,False,
txn_9520c812f3,False,
txn_ce3df2f7ff,False,
txn_9b2d070ea5,False,
txn_d02f260a46,False,
txn_26e3884a58,False,
txn_06c92c76ef,False,
txn_e5cfd3a8f8,False,
txn_391c6583a7,False,
txn_461a83c1e3,False,
txn_e9f6132197,False,
txn_7aff1c5cc6,False,
txn_1c925b3bb5,False,
txn_24c70220f8,False,
txn_af860ba7f7,False,
txn_f22c548630,False,
txn_9ead6a1db7,False,
txn_ebabce84f0,False,
txn_6d13d5034a,False,
txn_d1fd0b29c5,False,
txn_427e7d9e1a,False,
txn_6146382d27,False,
txn_2f07bb5b50,False,
txn_795ff42c86,False,
txn_1d90f83cd9,False,
txn_9970bca016,False,
txn_bbea3c0f86,False,
txn_a163a3d068,False,
txn_97b0c26577,False,
txn_66deda4a2c,False,
txn_7dda028679,False,
txn_fab874f31a,False,
txn_7ba0560f55,False,
txn_dd39e1a4d1,False,
txn_74cac70ca6,False,
txn_0dd3443cdd,False,
txn_209a1453c3,False,
txn_7ab42dc369,False,
txn_3bbe632b8f,False,
txn_ab556b0638,False,
txn_9457ffaa59,False,
txn_ed786f6ff9,False,
txn_a1b3ab47f0,False,
txn_17fbbae0bc,False,
txn_74fb1d617a,False,
txn_009b7089e4,False,
txn_596c310c3c,False,
txn_750b2a69b1,False,
txn_0192f9ccc3,False,
txn_d40a6d9d36,False,
txn_1dd0755368,False,
txn_bd210b0350,False,
txn_66a0f2b797,False,
txn_2dacb2ecee,False,
txn_f1297258cd,False,
txn_90a9019656,False,
txn_3fc063516e,False,
txn_c210a3a1a2,False,
